Result,ST1_x,ST2_x,CM1_x,CM2_x,LM_x,RM_x,CB1_x,CB2_x,LB_x,RB_x,GK_x,ST1_y,ST2_y,CM1_y,CM2_y,LM_y,RM_y,CB1_y,CB2_y,LB_y,RB_y,GK_y
w_home,77,74,77,75,76,76,77,73,74,78,82,74,71,74,73,73,72,71,70,71,72,76
draw,77,75,77,75,76,61,76,76,73,74,77,74,71,74,73,73,72,71,70,71,72,76
w_home,74,72,76,74,74,76,78,78,74,72,73,74,71,74,73,73,72,71,70,71,72,76
draw,76,73,79,76,74,69,78,73,76,71,82,74,71,74,73,73,72,71,70,71,72,76
w_home,79,74,77,76,72,76,76,74,77,72,74,74,71,74,73,73,72,71,70,71,72,76
draw,76,74,77,75,74,79,82,77,75,73,85,74,71,74,73,73,72,71,70,71,72,76
w_home,86,72,86,85,86,83,89,83,82,82,82,74,71,74,73,73,72,71,70,71,72,76
draw,73,70,74,73,70,75,74,74,73,73,78,76,74,80,73,75,77,79,75,75,73,75
w_home,82,80,83,82,80,77,84,78,77,79,84,76,74,80,73,75,77,79,75,75,73,75
w_home,77,75,78,80,77,75,76,74,73,76,81,76,74,80,73,75,77,79,75,75,73,75
draw,74,71,74,73,73,72,71,70,71,72,76,76,74,80,73,75,77,79,75,75,73,75
w_away,75,74,75,74,74,70,76,73,73,73,77,76,74,80,73,75,77,79,75,75,73,75
w_home,76,74,74,71,69,73,74,74,73,73,72,76,74,80,73,75,77,79,75,75,73,75
w_away,71,70,72,70,72,72,72,72,69,71,72,76,74,80,73,75,77,79,75,75,73,75
w_home,81,79,81,78,80,79,82,74,70,76,78,76,74,80,73,75,77,79,75,75,73,75
w_home,79,73,85,81,81,75,82,76,75,74,75,76,74,80,73,75,77,79,75,75,73,75
w_home,85,74,81,80,81,80,78,77,75,79,83,76,74,80,73,75,77,79,75,75,73,75
w_home,76,75,75,59,74,75,76,74,72,72,75,76,74,80,73,75,77,79,75,75,73,75
draw,77,74,74,73,70,73,74,74,74,72,79,76,74,80,73,75,77,79,75,75,73,75
w_home,77,74,77,75,76,76,77,73,74,78,82,76,74,80,73,75,77,79,75,75,73,75
w_home,77,75,77,75,76,61,76,76,73,74,77,76,74,80,73,75,77,79,75,75,73,75
w_home,74,72,76,74,74,76,78,78,74,72,73,76,74,80,73,75,77,79,75,75,73,75
w_home,76,73,79,76,74,69,78,73,76,71,82,76,74,80,73,75,77,79,75,75,73,75
draw,79,74,77,76,72,76,76,74,77,72,74,76,74,80,73,75,77,79,75,75,73,75
w_home,76,74,77,75,74,79,82,77,75,73,85,76,74,80,73,75,77,79,75,75,73,75
w_home,86,72,86,85,86,83,89,83,82,82,82,76,74,80,73,75,77,79,75,75,73,75
draw,73,70,74,73,70,75,74,74,73,73,78,77,75,78,80,77,75,76,74,73,76,81
w_home,82,80,83,82,80,77,84,78,77,79,84,77,75,78,80,77,75,76,74,73,76,81
w_home,76,74,80,73,75,77,79,75,75,73,75,77,75,78,80,77,75,76,74,73,76,81
draw,74,71,74,73,73,72,71,70,71,72,76,77,75,78,80,77,75,76,74,73,76,81
w_away,75,74,75,74,74,70,76,73,73,73,77,77,75,78,80,77,75,76,74,73,76,81
w_away,76,74,74,71,69,73,74,74,73,73,72,77,75,78,80,77,75,76,74,73,76,81
w_away,71,70,72,70,72,72,72,72,69,71,72,77,75,78,80,77,75,76,74,73,76,81
w_home,81,79,81,78,80,79,82,74,70,76,78,77,75,78,80,77,75,76,74,73,76,81
draw,79,73,85,81,81,75,82,76,75,74,75,77,75,78,80,77,75,76,74,73,76,81
w_away,85,74,81,80,81,80,78,77,75,79,83,77,75,78,80,77,75,76,74,73,76,81
w_away,76,75,75,59,74,75,76,74,72,72,75,77,75,78,80,77,75,76,74,73,76,81
draw,77,74,74,73,70,73,74,74,74,72,79,77,75,78,80,77,75,76,74,73,76,81
w_away,77,74,77,75,76,76,77,73,74,78,82,77,75,78,80,77,75,76,74,73,76,81
w_home,77,75,77,75,76,61,76,76,73,74,77,77,75,78,80,77,75,76,74,73,76,81
draw,74,72,76,74,74,76,78,78,74,72,73,77,75,78,80,77,75,76,74,73,76,81
draw,76,73,79,76,74,69,78,73,76,71,82,77,75,78,80,77,75,76,74,73,76,81
draw,79,74,77,76,72,76,76,74,77,72,74,77,75,78,80,77,75,76,74,73,76,81
draw,76,74,77,75,74,79,82,77,75,73,85,77,75,78,80,77,75,76,74,73,76,81
w_home,86,72,86,85,86,83,89,83,82,82,82,77,75,78,80,77,75,76,74,73,76,81
w_home,73,70,74,73,70,75,74,74,73,73,78,76,74,74,71,69,73,74,74,73,73,72
w_home,82,80,83,82,80,77,84,78,77,79,84,76,74,74,71,69,73,74,74,73,73,72
w_home,77,75,78,80,77,75,76,74,73,76,81,76,74,74,71,69,73,74,74,73,73,72
w_away,76,74,80,73,75,77,79,75,75,73,75,76,74,74,71,69,73,74,74,73,73,72
draw,74,71,74,73,73,72,71,70,71,72,76,76,74,74,71,69,73,74,74,73,73,72
w_home,75,74,75,74,74,70,76,73,73,73,77,76,74,74,71,69,73,74,74,73,73,72
w_home,71,70,72,70,72,72,72,72,69,71,72,76,74,74,71,69,73,74,74,73,73,72
draw,81,79,81,78,80,79,82,74,70,76,78,76,74,74,71,69,73,74,74,73,73,72
w_home,79,73,85,81,81,75,82,76,75,74,75,76,74,74,71,69,73,74,74,73,73,72
w_home,85,74,81,80,81,80,78,77,75,79,83,76,74,74,71,69,73,74,74,73,73,72
w_away,76,75,75,59,74,75,76,74,72,72,75,76,74,74,71,69,73,74,74,73,73,72
w_home,77,74,74,73,70,73,74,74,74,72,79,76,74,74,71,69,73,74,74,73,73,72
w_away,77,74,77,75,76,76,77,73,74,78,82,76,74,74,71,69,73,74,74,73,73,72
w_away,77,75,77,75,76,61,76,76,73,74,77,76,74,74,71,69,73,74,74,73,73,72
w_home,74,72,76,74,74,76,78,78,74,72,73,76,74,74,71,69,73,74,74,73,73,72
w_home,76,73,79,76,74,69,78,73,76,71,82,76,74,74,71,69,73,74,74,73,73,72
w_home,79,74,77,76,72,76,76,74,77,72,74,76,74,74,71,69,73,74,74,73,73,72
draw,76,74,77,75,74,79,82,77,75,73,85,76,74,74,71,69,73,74,74,73,73,72
w_home,86,72,86,85,86,83,89,83,82,82,82,76,74,74,71,69,73,74,74,73,73,72
w_away,73,70,74,73,70,75,74,74,73,73,78,79,73,85,81,81,75,82,76,75,74,75
w_home,82,80,83,82,80,77,84,78,77,79,84,79,73,85,81,81,75,82,76,75,74,75
draw,77,75,78,80,77,75,76,74,73,76,81,79,73,85,81,81,75,82,76,75,74,75
w_home,76,74,80,73,75,77,79,75,75,73,75,79,73,85,81,81,75,82,76,75,74,75
w_away,74,71,74,73,73,72,71,70,71,72,76,79,73,85,81,81,75,82,76,75,74,75
w_away,75,74,75,74,74,70,76,73,73,73,77,79,73,85,81,81,75,82,76,75,74,75
w_home,76,74,74,71,69,73,74,74,73,73,72,79,73,85,81,81,75,82,76,75,74,75
draw,71,70,72,70,72,72,72,72,69,71,72,79,73,85,81,81,75,82,76,75,74,75
w_home,81,79,81,78,80,79,82,74,70,76,78,79,73,85,81,81,75,82,76,75,74,75
w_home,85,74,81,80,81,80,78,77,75,79,83,79,73,85,81,81,75,82,76,75,74,75
w_home,76,75,75,59,74,75,76,74,72,72,75,79,73,85,81,81,75,82,76,75,74,75
w_away,77,74,74,73,70,73,74,74,74,72,79,79,73,85,81,81,75,82,76,75,74,75
draw,77,74,77,75,76,76,77,73,74,78,82,79,73,85,81,81,75,82,76,75,74,75
draw,77,75,77,75,76,61,76,76,73,74,77,79,73,85,81,81,75,82,76,75,74,75
draw,74,72,76,74,74,76,78,78,74,72,73,79,73,85,81,81,75,82,76,75,74,75
w_home,76,73,79,76,74,69,78,73,76,71,82,79,73,85,81,81,75,82,76,75,74,75
w_home,79,74,77,76,72,76,76,74,77,72,74,79,73,85,81,81,75,82,76,75,74,75
draw,76,74,77,75,74,79,82,77,75,73,85,79,73,85,81,81,75,82,76,75,74,75
draw,86,72,86,85,86,83,89,83,82,82,82,79,73,85,81,81,75,82,76,75,74,75
draw,73,70,74,73,70,75,74,74,73,73,78,81,79,81,78,80,79,82,74,70,76,78
w_home,82,80,83,82,80,77,84,78,77,79,84,81,79,81,78,80,79,82,74,70,76,78
draw,77,75,78,80,77,75,76,74,73,76,81,81,79,81,78,80,79,82,74,70,76,78
draw,76,74,80,73,75,77,79,75,75,73,75,81,79,81,78,80,79,82,74,70,76,78
w_away,74,71,74,73,73,72,71,70,71,72,76,81,79,81,78,80,79,82,74,70,76,78
w_home,75,74,75,74,74,70,76,73,73,73,77,81,79,81,78,80,79,82,74,70,76,78
w_away,76,74,74,71,69,73,74,74,73,73,72,81,79,81,78,80,79,82,74,70,76,78
w_away,71,70,72,70,72,72,72,72,69,71,72,81,79,81,78,80,79,82,74,70,76,78
w_home,79,73,85,81,81,75,82,76,75,74,75,81,79,81,78,80,79,82,74,70,76,78
draw,85,74,81,80,81,80,78,77,75,79,83,81,79,81,78,80,79,82,74,70,76,78
draw,76,75,75,59,74,75,76,74,72,72,75,81,79,81,78,80,79,82,74,70,76,78
w_away,77,74,74,73,70,73,74,74,74,72,79,81,79,81,78,80,79,82,74,70,76,78
w_away,77,74,77,75,76,76,77,73,74,78,82,81,79,81,78,80,79,82,74,70,76,78
draw,77,75,77,75,76,61,76,76,73,74,77,81,79,81,78,80,79,82,74,70,76,78
w_away,74,72,76,74,74,76,78,78,74,72,73,81,79,81,78,80,79,82,74,70,76,78
draw,76,73,79,76,74,69,78,73,76,71,82,81,79,81,78,80,79,82,74,70,76,78
w_away,79,74,77,76,72,76,76,74,77,72,74,81,79,81,78,80,79,82,74,70,76,78
w_away,76,74,77,75,74,79,82,77,75,73,85,81,79,81,78,80,79,82,74,70,76,78
draw,86,72,86,85,86,83,89,83,82,82,82,81,79,81,78,80,79,82,74,70,76,78
draw,73,70,74,73,70,75,74,74,73,73,78,75,74,75,74,74,70,76,73,73,73,77
w_home,82,80,83,82,80,77,84,78,77,79,84,75,74,75,74,74,70,76,73,73,73,77
draw,77,75,78,80,77,75,76,74,73,76,81,75,74,75,74,74,70,76,73,73,73,77
w_home,76,74,80,73,75,77,79,75,75,73,75,75,74,75,74,74,70,76,73,73,73,77
w_home,74,71,74,73,73,72,71,70,71,72,76,75,74,75,74,74,70,76,73,73,73,77
draw,76,74,74,71,69,73,74,74,73,73,72,75,74,75,74,74,70,76,73,73,73,77
w_home,71,70,72,70,72,72,72,72,69,71,72,75,74,75,74,74,70,76,73,73,73,77
draw,81,79,81,78,80,79,82,74,70,76,78,75,74,75,74,74,70,76,73,73,73,77
w_home,79,73,85,81,81,75,82,76,75,74,75,75,74,75,74,74,70,76,73,73,73,77
w_home,85,74,81,80,81,80,78,77,75,79,83,75,74,75,74,74,70,76,73,73,73,77
w_home,76,75,75,59,74,75,76,74,72,72,75,75,74,75,74,74,70,76,73,73,73,77
w_home,77,74,74,73,70,73,74,74,74,72,79,75,74,75,74,74,70,76,73,73,73,77
w_home,77,74,77,75,76,76,77,73,74,78,82,75,74,75,74,74,70,76,73,73,73,77
w_away,77,75,77,75,76,61,76,76,73,74,77,75,74,75,74,74,70,76,73,73,73,77
w_home,74,72,76,74,74,76,78,78,74,72,73,75,74,75,74,74,70,76,73,73,73,77
w_home,76,73,79,76,74,69,78,73,76,71,82,75,74,75,74,74,70,76,73,73,73,77
w_away,79,74,77,76,72,76,76,74,77,72,74,75,74,75,74,74,70,76,73,73,73,77
w_away,76,74,77,75,74,79,82,77,75,73,85,75,74,75,74,74,70,76,73,73,73,77
draw,86,72,86,85,86,83,89,83,82,82,82,75,74,75,74,74,70,76,73,73,73,77
draw,73,70,74,73,70,75,74,74,73,73,78,82,80,83,82,80,77,84,78,77,79,84
w_away,77,75,78,80,77,75,76,74,73,76,81,82,80,83,82,80,77,84,78,77,79,84
w_away,76,74,80,73,75,77,79,75,75,73,75,82,80,83,82,80,77,84,78,77,79,84
draw,74,71,74,73,73,72,71,70,71,72,76,82,80,83,82,80,77,84,78,77,79,84
w_away,75,74,75,74,74,70,76,73,73,73,77,82,80,83,82,80,77,84,78,77,79,84
w_away,76,74,74,71,69,73,74,74,73,73,72,82,80,83,82,80,77,84,78,77,79,84
w_away,71,70,72,70,72,72,72,72,69,71,72,82,80,83,82,80,77,84,78,77,79,84
w_home,81,79,81,78,80,79,82,74,70,76,78,82,80,83,82,80,77,84,78,77,79,84
w_away,79,73,85,81,81,75,82,76,75,74,75,82,80,83,82,80,77,84,78,77,79,84
w_away,85,74,81,80,81,80,78,77,75,79,83,82,80,83,82,80,77,84,78,77,79,84
w_away,76,75,75,59,74,75,76,74,72,72,75,82,80,83,82,80,77,84,78,77,79,84
w_away,77,74,74,73,70,73,74,74,74,72,79,82,80,83,82,80,77,84,78,77,79,84
w_away,77,74,77,75,76,76,77,73,74,78,82,82,80,83,82,80,77,84,78,77,79,84
w_home,77,75,77,75,76,61,76,76,73,74,77,82,80,83,82,80,77,84,78,77,79,84
w_away,74,72,76,74,74,76,78,78,74,72,73,82,80,83,82,80,77,84,78,77,79,84
w_away,76,73,79,76,74,69,78,73,76,71,82,82,80,83,82,80,77,84,78,77,79,84
w_away,79,74,77,76,72,76,76,74,77,72,74,82,80,83,82,80,77,84,78,77,79,84
draw,76,74,77,75,74,79,82,77,75,73,85,82,80,83,82,80,77,84,78,77,79,84
draw,86,72,86,85,86,83,89,83,82,82,82,82,80,83,82,80,77,84,78,77,79,84
w_home,89,83,88,82,87,85,86,83,81,80,82,82,80,83,82,80,77,84,78,77,79,84
w_away,85,77,86,82,82,81,85,83,81,82,88,82,80,83,82,80,77,84,78,77,79,84
w_away,81,75,84,82,80,81,83,82,79,81,84,82,80,83,82,80,77,84,78,77,79,84
w_away,87,81,88,82,82,82,85,81,81,83,83,82,80,83,82,80,77,84,78,77,79,84
w_home,82,80,83,82,80,78,83,82,78,78,86,82,80,83,82,80,77,84,78,77,79,84
w_home,89,83,86,84,86,85,88,87,86,84,88,82,80,83,82,80,77,84,78,77,79,84
draw,73,70,74,73,70,75,74,74,73,73,78,76,75,75,59,74,75,76,74,72,72,75
w_home,82,80,83,82,80,77,84,78,77,79,84,76,75,75,59,74,75,76,74,72,72,75
w_home,77,75,78,80,77,75,76,74,73,76,81,76,75,75,59,74,75,76,74,72,72,75
w_away,76,74,80,73,75,77,79,75,75,73,75,76,75,75,59,74,75,76,74,72,72,75
w_away,74,71,74,73,73,72,71,70,71,72,76,76,75,75,59,74,75,76,74,72,72,75
w_away,75,74,75,74,74,70,76,73,73,73,77,76,75,75,59,74,75,76,74,72,72,75
draw,76,74,74,71,69,73,74,74,73,73,72,76,75,75,59,74,75,76,74,72,72,75
draw,71,70,72,70,72,72,72,72,69,71,72,76,75,75,59,74,75,76,74,72,72,75
w_home,81,79,81,78,80,79,82,74,70,76,78,76,75,75,59,74,75,76,74,72,72,75
w_home,79,73,85,81,81,75,82,76,75,74,75,76,75,75,59,74,75,76,74,72,72,75
w_home,85,74,81,80,81,80,78,77,75,79,83,76,75,75,59,74,75,76,74,72,72,75
w_away,77,74,74,73,70,73,74,74,74,72,79,76,75,75,59,74,75,76,74,72,72,75
w_home,77,74,77,75,76,76,77,73,74,78,82,76,75,75,59,74,75,76,74,72,72,75
w_away,77,75,77,75,76,61,76,76,73,74,77,76,75,75,59,74,75,76,74,72,72,75
w_away,74,72,76,74,74,76,78,78,74,72,73,76,75,75,59,74,75,76,74,72,72,75
draw,76,73,79,76,74,69,78,73,76,71,82,76,75,75,59,74,75,76,74,72,72,75
w_home,79,74,77,76,72,76,76,74,77,72,74,76,75,75,59,74,75,76,74,72,72,75
draw,76,74,77,75,74,79,82,77,75,73,85,76,75,75,59,74,75,76,74,72,72,75
w_home,86,72,86,85,86,83,89,83,82,82,82,76,75,75,59,74,75,76,74,72,72,75
draw,73,70,74,73,70,75,74,74,73,73,78,76,74,77,75,74,79,82,77,75,73,85
w_home,82,80,83,82,80,77,84,78,77,79,84,76,74,77,75,74,79,82,77,75,73,85
w_home,77,75,78,80,77,75,76,74,73,76,81,76,74,77,75,74,79,82,77,75,73,85
w_home,76,74,80,73,75,77,79,75,75,73,75,76,74,77,75,74,79,82,77,75,73,85
w_away,74,71,74,73,73,72,71,70,71,72,76,76,74,77,75,74,79,82,77,75,73,85
w_away,75,74,75,74,74,70,76,73,73,73,77,76,74,77,75,74,79,82,77,75,73,85
draw,76,74,74,71,69,73,74,74,73,73,72,76,74,77,75,74,79,82,77,75,73,85
w_home,71,70,72,70,72,72,72,72,69,71,72,76,74,77,75,74,79,82,77,75,73,85
w_home,81,79,81,78,80,79,82,74,70,76,78,76,74,77,75,74,79,82,77,75,73,85
w_home,79,73,85,81,81,75,82,76,75,74,75,76,74,77,75,74,79,82,77,75,73,85
w_home,85,74,81,80,81,80,78,77,75,79,83,76,74,77,75,74,79,82,77,75,73,85
draw,76,75,75,59,74,75,76,74,72,72,75,76,74,77,75,74,79,82,77,75,73,85
w_home,77,74,74,73,70,73,74,74,74,72,79,76,74,77,75,74,79,82,77,75,73,85
draw,77,74,77,75,76,76,77,73,74,78,82,76,74,77,75,74,79,82,77,75,73,85
